Project Scorecard - SASE ,Weighting,Response,Points,Weighted Total,Response,Points,Weighted Total,Response,Points,Weighted Total,Response,Points,Weighted Total,Response,Points,Weighted Total,Response,Points,Weighted Total,Response,Points,Weighted Total,Response,Points,Weighted Total,Response,Points,Weighted Total,Response,Points,Weighted Total,Response,Points,Weighted Total,,
Company Information,15%,,,10%,,,6%,,,10%,,,9%,,,8%,,,10%,,,6%,,,8%,,,12%,,,10%,,,8%,,
Company Name,,CBTS,,,Commandlink,,,CBTS,,,Cato Networks ,,,RapidScale,,,Lumen,,,Nitel,,,New Horizon Communications,,,Spectrotel,,,Windstream,,,"AT&T Enterprises, LLC",,,,
Year founded,10,2001,5,10,2012,3,6,2001,5,10,"Cato was founded in 2015. Our founders and many of our employees have an extensive security background.
Our CEO and Co-Founder Shlomo Kramer is in the hall of fame of cyber security and has co-founded companies such as Check Point (first commercial firewall) and Imperva (first web application firewall), he also was the first investor in Palo Alto Networks.
Since 2015 Cato's vision has been to converge Network and Security in a cloud-native and cloud-delivered service.",3,6,2008,3,6,1968,5,10,2003,5,10,2002,5,10,1996,5,10,Technically 2006 but Alltel roots back to 1943,3,6,1876,5,10,,
Headquarters,,Cininnati Ohio,,,"Seattle, WA",,,Cininnati Ohio,,,"Cato's headquarters is located in Tel Aviv, Israel. We have 8 other physical offices and 80+ points of presence globally.",,,Raleigh NC,,,Monroe Lousiana,,,"Chicago, IL",,,Concord MA,,,Neptune NJ,,,"Little Rock, Arkansas",,,"208 S. Akard St. Dallas, TX 75202 ",,,,
Ownership,,Private,,,Privately Held,,,Private,,,Cato Networks is a privately held organization.,,,Private (Cox Business,,, ,,,Private,,,Private,,,Privately held ,,,Privately Held,,,Publicly traded corporation,,,,
Parent Company,,Towerbrook Capital Partners,,,N/A,,,Towerbrook Capital Partners,,,Cato Networks does not have a parent company.,,,Cox Business,,, ,,,Cinven. International Private Equity Firm,,,N/A,,,Grain Management,,,Windstream,,,AT&T Inc.,,,,
Year SD WAN Launched,10,CBTS 2017,3,6,2016,3,6,2017,3,6,2015,3,6,2018,3,6,15 years+,5,10,2017,3,6,2017,3,6,2018,3,6,2017,3,6,AT&T has more than fifteen years of experience providing and managing SD–WAN solutions.,5,10,,
Year SASE Platform launched,10,CBTS 2019,3,6,2016,3,6,2019,3,6,2015,3,6,2021,1,2,10 years+,5,10,2020,1,2,2021 - Edge,1,2,2024,1,2,2022,1,2,2017,3,6,,
Year provider started offering managed platform,10,CBTS  2017,3,6,2019,1,2,2017,3,6,2015,3,6,2018,3,6,15 years+,5,10,2017 for SD-WAN,3,6,2017,3,6,2014,5,10,2017,3,6,2017,3,6,,
Number of clients on platform,10,"Palo has over 5,000 on these platforms",3,6,"2000+ Enterprise Customers, 700,000 Remote Access Users (SDP) (CATO NUMBER)",1,2,Velocloud and Cisco have tens of thousands of customers on these platforms,3,6,~2500 clients on Cato's platform.,3,6,1300+,3,6,Requires NDA,,0,VMware  & Fortinet have thousands of customers and sites on platform,,0,~500,3,6,"55,000",5,10,5000,5,10,"We monitor and manage thousands of SD–WAN devices, which means we have the expertise to help you manage your solution. A centralized orchestrator lets us address on–demand MACDs, as well as monitor and manage your SD–WAN devices.
We serve millions of customers around the world, including global, national, mid-size, regional, and government customers.
Currently we provide service for all of the Fortune 1000 companies. Due to confidentiality agreements, we are unable to provide a client list. ",,0,,
Number of sites on platform,10,10's of thousands,3,6,"32,000+ (CATO NUMBER)",1,2,Many Tens of Thousands,3,6,"We regard branches, HQs, data centers, clouds, and remote users as 'edges' into our cloud-native service.
In that regard, we have well over 1 million individual users connected to Cato Cloud today.",3,6,6000+,3,6,Requires NDA,,0,VMware  & Fortinet have thousands of customers and sites on platform,,0,~1500,1,2,"175,000",5,10,45000,5,10, ,,0,,
Management,20%, ,,16%,,,18%, ,,16%, ,,8%, ,,11%, ,,16%,,,17%, ,,16%, ,,13%,,,12%, ,,12%,,
Do you offer circuit procurement,10,Yes ,5,10,Yes,5,10,Yes ,5,10,We do not offer circuit procurement; we rely on our partner ecosystem for the underlay as we manage the overlay.,0,0,No,0,0,Yes,5,10,Yes,5,10,"Yes, we are an aggregator with agreements with all major LECs and MSOs",5,10,Yes,5,10,Yes,5,10,"Yes AT&T can procure Dedicated Internet circuits, L2 and MPLS circuits (ATT WILL NOT AGGREGATE THIRD PARTY BROADBAND)",3,6,,
"Do you hold direct contracts with the circuit providers, or do you leverage an aggregator?",10,Both,3,6,Yes,5,10,Both,3,6,We would leverage Opex to address circuit providers and/or aggregation.,0,0,N/A,0,0,Direct Contracts,5,10,"Direct for most, some aggregation",3,6,Direct contract,5,10,Yes,,0,In most cases yes but we do have some areas where we work with Nitel,3,6,AT&T is the service providers so no middlemen. (ATT WILL NOT AGGREGATE THIRD PARTY BROADBAND),3,6,,
Do you offer circuit management,10,Yes,5,10,Yes,5,10,Yes,5,10,"Cato dynamically monitors the quality of each Internet circuit to make real-time decisions upon failover between circuits to maintain user experience and availability. The thresholds for detecting a “Brown-out” situation are entirely configurable by the customer's administrators.
Additionally, Cato offers an additional service to proactively monitor customers’ Internet circuits and raise ISP support tickets on the customer's behalf through resolution. Cato Intelligent last-mile Management (ILMM) is a global, last-mile monitoring and management service designed for today’s enterprise. 
Cato ILMM monitors the complete last mile from the site through the ISP to the Cato PoP for brownout and blackout detection. 
Instead of being limited to the router's capabilities, Cato uses its Cato Socket for last-mile monitoring. By default, Cato Sockets measure latency, loss, and jitter using four different methods — DNS, HTTP, ping, and traceroute — although custom services can also be defined. Test results are then compared against the link profile generated during the onboarding process. Cato uses its data warehouse capabilities to construct detailed profiles of last-mile performance for each monitored service. These profiles are continuously updated to reflect seasonal variations in traffic conditions. By comparing test results against the link profiles, Cato can detect brownouts, not just link outages. 
Once problems are identified, Cato proactively works with ISPs to resolve them to minimize or eliminate user impact. Detailed reports backed by extensive logs identify the source of networking problems, shortening the time for ISPs to resolve problems. 
While most last-mile monitoring services stop at the ISP’s premises, Cato’s ILMM monitors the link from the Cato Socket through the ISP and all the way to the Cato PoP around the clock, seven days a week, 365 days a year. ",5,10,No,3,6,Yes,5,10,Yes,5,10,Yes,5,10,Yes,5,10,Yes,5,10,"Yes, Proactive and Reactive",5,10,,
Do you actively monitor and proactively open tickets for circuit issues,10,Yes,5,10,Yes,5,10,Yes,5,10,"Cato’s optional Intelligent Last Mile Management (ILMM) service detects blackouts and brownouts (noticeable performance degradations) over the ISP paths between sites and PoPs, dynamically routes around the problem ISP (if there are two paths to choose from), and Cato’s NOC will alert the degraded ISP on behalf of the Customer for issue resolution. ",5,10,Yes,5,10,Yes depends on circuit type,3,6,Yes,5,10,Yes,5,10,Yes,5,10,Yes when our equipment is present,5,10,"Yes, and customer will be notified via email when a problem is detected on a circuit",5,10,,
Is onsite hardware replacement included,10,Yes,5,10,Yes,5,10,Yes,5,10,"Yes. Edge hardware is available only through our subscription pricing, and the replacement is part of the subscription.",0,0,Yes,5,10,Yes,5,10,"Yes, but can be optional",5,10,Yes when the are nhc provided devices,5,10,Yes,5,10,Yes,5,10,"Yes, if you have managed services from AT&T",5,10,,
What is your SLA for onsite replacement,10,Follows OEM hardware warranty.  Typically NBD,3,6,CATO uses ground shipping for hardware replacement. ,1,2,Follows OEM hardware warranty.  Typically NBD,3,6,"One or two (HA) Cato Socket edge appliances are the only edge devices required. The Cato Sockets are capable of driving traffic over multiple Internet links. Since all “heavy lifting” is done in the cloud, appliance sizing and stacking common in branch deployment are eliminated.  Shared our SLAs in further detail in Question #7 response.",1,2,NBD;  onsite spare options also available ,3,6,8X5XNBD,3,6,Typically NBD,3,6,Next Business Day,3,6,next business day,3,6,"Onsite replacement is available, SLA response depends on specific product offering and customer design requirments. ",,0,Several options,3,6,,
What is your SLA for P1 incident response,10,15 minute response and 4 hour repair.,3,6,"Commandlink provides a 10-minute SLA for every support case, which are automatically created during a service outage or degradation. ",5,10,15 minute response and 4 hour repair.,3,6,"Cato provides 24x7x365 support for all customers via 3 tiers of service teams in 3 primary global regions, spanning 6 global time zones.
These Cato service/support teams are centered in the following locations: US-West, US-East, UK, Netherlands, Israel, Singapore and the Philippines. 
A direct escalation path via on-duty manager is always available to customers for incident/support need prioritization - which includes 2 direct support management contacts (VP Global Product Support and VP Operations).
There are 3 Response Time categories for Cato support, each with their own SLAs:
• Tier 3 (Low) initial response w/in 1 business day, updates every 4 business days
• Tier 2 (Medium) initial response w/in 4 hours, updates every 1 business day
• Tier 1 (High) initial response w/in 2 hours, updates every 2 hours
Additional support options are available:
• Cato's Tech Self Service Portal (https://supportme.catonetworks.com/)
• Cato's KnowledgeBase (https://support.catonetworks.com/hc/en-us)
• Cato's health status page (https://status.catonetworks.com) 
• Premium support: DSE (Designated Support Engineer) and TAM (Technical Account Manager)
• Cato's global professional services team offers assistance in planning, deployment, migration, expansion and any project related to the solution.
Current support quality statistic:
• CSAT Rating: 97.8 out of 100
• Average first response time: 10 minutes
• Average resolution time: 18 minutes
• Average ticket volume: About 9000 tickets per month
• SLA breaches related to infrastructure outages in the past 12 months that required relief granted to customers: Zero
• SLA breaches related to Support SLA in the past 12 months that required relief granted to customers: Zero
• The average tenure of support staff: 1.3 years
Cato's service SLA is publically available on our website: https://www.catonetworks.com/msa/ ",1,2,15minutes,3,6,see SLAn below,,0,Upon detection of a P1 incident we will respond immediately to begin troubleshooting and escalate to the next level in 1 hour if not resolved. See link to SLAs in below response.,3,6,"30 Minutes during business hours, 60 Minutes after hours",3,6,2 hours,1,2,SLA response depends on specific product offering and customer design requirments. ,,0,https://serviceguidenew.att.com/,,0,,
Do you provide an uptime SLA if both hardware and circuits are procured through you? What is the SLA?,10,CBTS will negotiate an uptime SLA if all hardware and circuits are procurred through CBTS with an approved design. ,3,6,Commandlink offers a 100% Uptime Availability SLA when SDWAN along with dual diverse connections are all procured through CommandLink. ,5,10,CBTS will negotiate an uptime SLA if all hardware and circuits are procurred through CBTS with an approved design. ,3,6,"We commit to 99.999% as part of our MSA in which you can also find information about credits.
https://www.catonetworks.com/msa/
We do not provide circuits as previously mentioned; we recommend consulting Opex on this layer.",,0,No,0,0,https://assets.lumen.com/is/content/Lumen/lumen-service-level-agreementpdf,5,10,"Yes, all SLAs posted at https://www.nitelusa.com/sla/ (Appers to be 100% uptime)",5,10,We pass through the carrier SLA - 4 hour MTTR as default,1,2,Varies per product,,0,"Yes, SLA depends on specific product offering and customer design requirments. ",,0,https://serviceguidenew.att.com/,,0,,
Do you provide client access to the SD-WAN portal (co-management),10,Yes.  Clients receive full access to the SD-WAN and Security management portals.  Co-management does not affect our SLA's,5,10,Yes,5,10,Yes.  Clients receive full access to the SD-WAN and Security management portals.  Co-management does not affect our SLA's,5,10,"Self managed, co-managed, and/or fully managed options available.",5,10,Yes,5,10,Yes ,5,10,Yes,5,10,Only offer comanaged on our VeloCloud SD-WAN offering,5,10,Yes,5,10,Yes,5,10,"Self-Service Portal provides visibility into both legacy and cloud applications on your network, plus it enables you to view network routing and policies (called business intent) and see your connected locations from a single dashboard. As a result, you get the efficiency of streamlined network operations and an optimized network for your business. ",3,6,,
SD WAN Requirements,30%, ,,24%,,,28%, ,,22%, ,,28%, ,,26%, ,,15%,,,14%, ,,24%, ,,16%,,,7%, ,,10%,,
Traffic Handling (packet or session),10,Session,1,2,Packet,5,10,Packet,5,10,"The Cato service delivers prioritization end-to-end from the point of the Cato socket device to the destination Cato socket. Customers can define and manage prioritization and bandwidth from a centralized location with as much granularity as required. Configuring the organization's QoS policies is done through BW Management profiles. These profiles define priorities and limit upstream/downstream bandwidth to a fixed speed or a percentage of the total bandwidth.
 
Analyzing QoS in real time or viewing historical data: When configuring a Cato site within the Cato Management Application (CMA), the administrator also configures the upstream/downstream bandwidth capacity. In this way, the Cato Cloud is aware of each link's capacity and can further leverage it in the QoS engine.
 
As part of the QoS engine, Cato continuously monitors each link’s quality matrix (congestion, packet loss, jitter, latency) and dynamically sends traffic over the best available link as configured in the PBR. Furthermore, Cato uses Weighted Random Early Drop (WRED). Before discarding a packet (due to lack of capacity), Cato buffers a minimum threshold of 250 packets and an upper threshold of 500 packets. You can analyze discarded packets using the analytics view.
 
Network rules allow the administrator to define Policy-Based Routing to steer traffic over Cato or other available transport paths (such as MPLS) while also controlling ISP Circuit selection, Packet Loss Mitigation, and more. The network rules can be based on Src / Dst, AD User or User Group, Application or Application Group, Service, and manually defined logical grouping.
 
The PBR comprises the following main functions:
 
• Transport Selection: you can define through which transport (such as Cato or Alt. WAN) to transfer specific traffic. For example, if a site has Alt. WAN (MPLS) as well as an internet link, you can define a PBR where certain WAN traffic is directed over MPLS while the remaining traffic and internet is directed over the Cato Cloud
• NIC Selection: you can define through which NIC to transfer specific traffic. For example, if a site has multiple internet lines, you can define a PBR where one NIC is used for all business apps while another NIC is used for non-business apps.
• Egressing or NAT from the Cato Cloud: you can select via which PoP(s) or IP(s) specific traffic should be egressed from the Cato Cloud, as explained in the following examples:
• Egressing from a specific location (Route via): If you want to optimize specific internet traffic to egress from the Cato Cloud closer to the target location, or to egress specific locations for localization purposes.
  
For each BW Management profile, you assign a number defining its priority. When you assign these prioritized profiles to the Network Rules, you effectively implement traffic prioritization, including throttling traffic per defined limits in the BW Management profile when links are congested.
 
 
Cato provides a set of predefined priorities (which can be added, modified, or deleted) assigned to the predefined network rules as follows:
  
P10: Prioritizing Voice & Video traffic across WAN and Internet
P20: Prioritizing RDP traffic across WAN and Internet
P30: Prioritizing SMB traffic across WAN and Internet
P40: Prioritizing the rest of the WAN traffic
Default: Prioritizing the rest of the Internet traffic is used as default priority when a Networking Rule doesn’t have a QoS context (meaning no specific priority should be assigned).",5,10,Yes,5,10,Per Session based,3,6,Packet and Session,3,6,"Packet for VeloCloud and BigLeaf, Session for Fortinet",5,10,Depending on platform (we have both),3,6,Windstream does have solutions which support both features.,3,6,"Near-Real Time Dynamic Routing uses software-defined networking to route your network traffic. You can set business- or application-specific policies to efficiently and dynamically share traffic loads across multiple WAN connections. As a result, you optimize your network traffic and help improve application performance. ",0,0,,
Can you shift traffic mid-session,10,Yes,3,6,Yes,5,10,Yes,5,10,Traffic is steered flow-by-flow but with packet-level failover and failback.,5,10,Yes,5,10,"yes, under certain circumstances where we use specific forwarding logic.  (ie. packet replication)",3,6,"Yes, on Packet-Based",3,6,Yes,5,10,Depending on Platform (YES),3,6,"Yes, Windstream does have solutions which support that feature.",3,6,Aruba appliances will shift traffic from bad connection to good wireline or wireless connection during transmission.  It's automated function of SDWAN.,3,6,,
Throughput monitoring,10,"Yes, with optional custom CBTS API integration",3,6,Throughput monitoring is included with every platform offered,5,10,"Yes, with optional custom CBTS API integration",3,6,"We measure, monitor, and report on key performance and capacity attributes and conduct regular reviews in the planning process.  Attributes must include storage capacity, throughput, and network throughput.",5,10,Yes,5,10,"Yes, probe packets are used to measure Latency, jitter and Packet loss.",0,0,"Yes, on Packet-Based",3,6,Yes,5,10,Yes,5,10,"Yes, Windstream does have solutions which support that feature.",5,10,We don't monitor Throughput.,0,0,,
"Do you support full mesh? If so, what is the maximum number of sites in a full mesh?",10,Yes. Palo's new  Brand Gateway Architecture can now support thousands of location across a global deployment.,5,10,"Sites all can reach each other through the POP and Cato network, or can connect directly.",5,10,Yes.  Thousands.,5,10,"Cato fully complies with either design, full/partial mesh.  Because we are user-aware (integrating with Active Directory), we can also offer partial mesh designs based on employees, business divisions and user-groups as opposed to the more traditional site-based topologies.

Mobile and remote users are also able to access the full/partial mesh of the Cato Cloud. Every POP also serves as a VPN concentrator so no matter where the user, their routing internally and externally will be optimized.",5,10,Yes; total sites in full mesh is dependent on number of circuits at each location. Meshing can be done on-demand to improve scalability allowing 1000s of sites to dynamically communicate directly with each other. ,5,10,"Yes, 100 sites are standard, anything higher requires engineering review and approval.",3,6,"Yes, 2500",5,10,"Yes, 6000 on the VeloCloud Edge 3810",5,10,Over 1000,5,10,"Yes, Windstream does have solutions which support that feature. Site max depends on the chosen solution. ",5,10,Full Mesh is supported on AT&T SDWAN topology.  To calculate the Total number of sites in  a Full Mesh network  will depend on the Total Tunnel Count per site.  The Aruba appliances are scaled to support specific MAX Tunnels. ,3,6,,
How do you connect into AWS and Azure?,10,Virtual SD-WAN instances or VPN into Palo Prisma or Cloudblades for AWS. Design depends on customer and application needs.,5,10,Via virtual CATO appliance in your AWS environment,5,10,Virtual SD-WAN instances or via Velo Cloud Gateways.  Design depends on customer and application needs.,3,6,"Cato natively supports cloud applications (SaaS) resources as well as cloud datacenters (IaaS) without additional configuration, complexity, or point solutions. Specific optimizations include Shared Internet Exchange Points.
Like content delivery networks (CDNs), the Cato PoPs collocate in data centers directly connected to the IXP of the leading IaaS providers, such as Amazon AWS, Microsoft Azure, and Google CloudPlatform. Traffic from Cato customer sites and devices is optimized and routed via the shortest and fastest path from the Cato Cloud to the customer’s cloud infrastructure provider. As a result, latency to the cloud is comparable to optimized access provided by cloud providers, such as AWS DirectConnect or Azure Express Route, without the additional charge of optimized access offerings.",5,10,Over commodity internet or private circuit  (ExpressRoute or Direct Connect),5,10,Virtual SDWAN Appliance via Terraform playbook into customer public cloud environment.,3,6,Yes (VIRTUAL APPLIANCE),3,6,IPSec Tunnel from cloud hosted gateway or customer can add a virtual VeloCloud Edge on the VMs.,5,10,Over the top or direct router * (customer expense) if requested,3,6,Windstream's Cloud Connect solution offers multiple geo-located private direct and shared ingress/egress points. ,5,10,"Customer may deploy an SD-WAN Virtual Edge in their Cloud Service Provider environment in Microsoft Azure, Amazon Web Services, Google Cloud Platform or Megaport.
AT&T will provide engineering support by AT&T Design Engineering, AT&T Implementation support, AT&T Integrated Service Experience, and AT&T Global Operations & Services Center. EdgeConnect Virtual (EC-V) appliances must be part of an AT&T SD-WAN with Aruba solution.
AT&T personnel will have no access to the customer’s Cloud service provider virtual compute resources, account, or console access to the virtual edge VNF.
AT&T may require Customer to access their cloud account to troubleshoot any problems that were identified in the CSP. AT&T and Aruba may participate in a troubleshooting triage with the Customer and the CSP to resolve the issue.
Cloud edges must always be part of a larger SD-WAN OTT solution that is provisioned as part of a larger MSP account for which AT&T has Orchestrator access. The virtual edge name as it appears in the Orchestrator must reflect a naming convention that conveys it is a virtual edge (e.g., xxCedge.xxx).",5,10,,
How do you license HA?,20,Hardware and Licensing is 2x.  Management and support is per site (1X),3,12,Hardware cost only - no additional license cost for HA,5,20,Second appliance is 50% of first.,3,12,"We have several Cato socket sizes, which are also offered in HA pairs.  These sockets are part of the subscription fee.
From the Socket to the Global Network the CATO Networks Platform is highly available throughout. The Socket can be deployed in HA, with Dual WAN which automatically tunnels to the nearest CATO PoP which is comprised of multiple Global Tier 1 providers in Tier 3 / 4 Datacenters across the globe. The physical infrastructure of the PoP itself is built in redundancy nodes all running the CATO network & security software stack. The Socket holds extra intelligence to automatically failover to the next closet PoP if the one nearest to it sustains a failure. Furthermore, if the CATO Global Network sustains a catastrophic failure, the Socket will fail open to the internet to allow traffic out and will automatically establish a site to site tunnel with each and every other Socket on the WAN, creating a Full VPN mesh.  ",5,20,No HA license required hardware only. ,5,20,Secondary HA appliance is licensed at 75% cost of the primary device,3,12,Yes,,0,2 devices w/ 1 License,5,20,1 per box or 1 per pair depending on platform,1,4,Yes,,0,AT&T will provide HA licnese for Two appliances,,0,,
How can you optimize traffic to each of the below SaaS platforms?,, ,,0,All of the below can be setup to arrive to the platform via hitting the CATO Cloud Gateways first or via direct internet breakout from the edge site. We welcome a discussion on what makes the most sense for your organizational needs while also prioritizing the traffing to/from these applications. ,,0, ,,0,"Within the middle-mile (Cato Cloud), Cato PoPs choose the best, SLA-backed carrier for every packet. Routing on SLA-backed carriers end-to-end eliminates the packet loss incurred during carrier peering. With the optimum network determined, Cato PoPs act as TCP proxies, dramatically improving end-to-end TCP throughput. As proxies, the PoPs make distant destination appear closer to TCP clients and servers, which allows them to set large TCP windows. As a result, clients and servers can pass far more data at once before waiting for acknowledgement. Azure environments (IaaS) can be connected to Cato Cloud and enjoy all the above mentioned benefits. Cato Cloud eliminates the need for express routes as packets will always take the optimal route to the destination and Cato pop's are strategically placed near big cloud egress points for good connectivity. SaaS application traffic can be sped up as well by keeping the traffic in Cato cloud and egressing the traffic as close to the destination as possible instead of doing a local break out of the SaaS traffic over the unpredictable internet.",,0, ,,0, ,,0,,,0, ,,0, ,,0,SDWan technology allows you to create unique priority profiles to ensure optimized delivery of business critical applications. Windstream welcomes the opportunity to discuss the details around these critical applications and how we can design a resilient and efficient network to best support them.,,0, ,,0,,
